"CPG_SCHEDULED_START_ON";"CPG_SCHEDULED_END_ON";"CPG_ACTUAL_START_ON";"CPG_ACTUAL_END_ON";"IT_ID";"IT_NUM";"IT_NAME";"IT_SCHEDULED_START_ON";"IT_SCHEDULED_END_ON";"IT_ACTUAL_START_ON";"IT_ACTUAL_END_ON";"TC_ID";"TC_NAME";"TC_PROJECT_ID";"TC_PROJECT";"TC_WEIGHT";"TEST_SUITE";"#_EXECUTIONS";"#_REQUIREMENTS";"#_ISSUES";"DATASET";"EXEC_STATUS";"EXEC_USER";"EXECUTION_DATE";"TC_REF";"TC_NATURE";"TC_TYPE";"TC_STATUS";"STEP_ID";"STEP_NUM";"STEP_#_REQ";"EXEC_STEP_STATUS";"EXEC_STEP_DATE";"EXEC_STEP_USER";"EXEC_STEP_#_ISSUES";"EXEC_STEP_COMMENT"
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"563";"Rok vìdecká notace E";"79";"OKS-07";"LOW";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:04:25";"TC.04.03.02.11";"NAT_FUNCTIONAL_TESTING";"TYP_COMPLIANCE_TESTING";"WORK_IN_PROGRESS";"399";"4";"0";"SUCCESS";"2022/04/07 21:04:15";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"564";"Rok pouze bílé znaky";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:04:44";"TC.04.03.02.02";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"402";"1";"0";"SUCCESS";"2022/04/07 21:04:33";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"564";"Rok pouze bílé znaky";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:04:44";"TC.04.03.02.02";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"403";"2";"0";"SUCCESS";"2022/04/07 21:04:39";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"564";"Rok pouze bílé znaky";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:04:44";"TC.04.03.02.02";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"404";"3";"0";"SUCCESS";"2022/04/07 21:04:42";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"564";"Rok pouze bílé znaky";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:04:44";"TC.04.03.02.02";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"405";"4";"0";"SUCCESS";"2022/04/07 21:04:44";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"565";"Rok bez nevýznamové nuly 4";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:05:30";"TC.04.03.02.03";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"406";"1";"0";"SUCCESS";"2022/04/07 21:05:00";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"565";"Rok bez nevýznamové nuly 4";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:05:30";"TC.04.03.02.03";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"407";"2";"0";"SUCCESS";"2022/04/07 21:05:24";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"565";"Rok bez nevýznamové nuly 4";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:05:30";"TC.04.03.02.03";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"408";"3";"0";"SUCCESS";"2022/04/07 21:05:28";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"565";"Rok bez nevýznamové nuly 4";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:05:30";"TC.04.03.02.03";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"409";"4";"0";"SUCCESS";"2022/04/07 21:05:30";"admin";"0";""
"";"";"";"";"87";"1";"1. Iterace";"";"";"";"";"566";"Rok více než 2 dekadické èíslice";"79";"OKS-07";"MEDIUM";"";"1";"1";"0";"";"SUCCESS";"admin";"2022/04/07 21:05:56";"TC.04.03.02.04";"NAT_FUNCTIONAL_TESTING";"TYP_UNDEFINED";"WORK_IN_PROGRESS";"410";"1";"0";"SUCCESS";"2022/04/07 21:05:42";"admin";"0";""
